id,pT,xF,E
211,0.9969096158276805,1.861209275825676,16.103206896541266
211,0.837640735550928,9.728959816899906,84.01475393429399
-211,0.5405228173582103,0.1734074954356857,1.5980677384445885
-211,0.746933301428733,0.7089693139085732,6.168991738741825
-211,0.2722120920922085,0.4310711209915251,3.7348875441210256
-211,0.1912423942510707,0.0844522310327529,0.7667222774369681
211,0.4605957503678927,3.5283642068426,30.471550176927977
-211,0.0427461155776758,0.3238627834012632,2.800391779620593
211,0.684557398054989,0.3018669683720606,2.6986510904380028
-211,0.4410725489480406,0.7581312438555605,6.562859033338619
211,0.8258518314977878,9.476866202544398,81.83789674888597
211,0.2784756538358913,1.587747314245758,13.713882041975106
211,0.0938617556347088,0.2527323018117749,2.1888385110767654
-211,0.0539152954184377,0.1470395156586148,1.2784850616703385
-211,0.0969154794352313,0.0493147599098615,0.4584865952617022
211,0.4545006152841714,0.231377934392344,2.0537608507116847
211,0.3720556548425598,0.7220156197853111,6.247321875270959
211,0.1779572311228436,0.3496635283281146,3.027834909852173
211,0.4165377098542823,0.6462132573823729,5.597376239402407
-211,0.23765386239148,0.1920319774068685,1.680961648585824
-211,0.259238563124759,0.0031869344671677,0.2957054934418847
-211,0.2650699730536039,1.052017675050232,9.089207381409237
211,0.2986670411496093,1.5072702350381768,13.019591457445635
-211,0.7462073616058172,0.0974619560202661,1.1333948566702454
211,0.2107498301706317,4.010559594392716,34.632473188209715
-211,0.3223600881510616,0.6148613003702914,5.320991689922968
211,0.2207457367125546,0.2572153604348384,2.236380374584398
-211,0.1382486100691302,0.7492729005808902,6.47302207093064
-211,0.2367417744268195,0.8389062156505928,7.2492434117402835
211,0.4257687601419838,0.0564455418459022,0.6620647326865683
-211,0.1274913071281764,0.0321446150751097,0.3358271430314146
211,0.2565212769686372,0.1233347706977586,1.104320167235472
211,0.4887515174669807,0.3792796085654553,3.314322158383324
211,0.1909776056091552,1.5755097518110188,13.60672771420309
211,0.4305129618849228,0.1361088117410212,1.2594362726888348
-211,0.3697087008804195,0.1830334591308468,1.6291649742683354
211,0.2293356962181573,0.0885802111646798,0.8106441893251887
-211,0.7528085187190219,1.3524012060246569,11.70318005933123
211,0.2940436212146831,0.0307571022022645,0.4200948689909516
-211,0.6644368682466654,2.894349449219954,25.002193521436805
-211,0.1051984538970923,0.2060863152395764,1.7881362064716544
-211,0.3759035713140879,0.1526189347826709,1.3775293449912829
-211,0.0355770109619151,0.3273780007122626,2.8306059993810635
-211,0.2314138038543771,0.0527280568810915,0.5294721922395388
211,0.1759817469762912,0.0457819512715076,0.454682572744468
-211,0.2437379420203047,0.5299447944302443,4.584733425520805
-211,0.8963176672109167,3.2490531243763714,28.070533269712097
-211,0.4463077987017803,1.121307107454745,9.69387529242411
-211,0.0165222189124699,0.3201179090166259,2.767818161145633
-211,0.3013854130828899,0.0298479491846087,0.4204078360568702
211,0.0376900917918862,0.6460358761149455,5.5804521178492505
211,0.1586477601500853,4.121869254452473,35.593347058395274
-211,0.5587637270077097,2.6744020110515168,23.100887586082425
211,0.2210992677216005,0.0340696115790592,0.3935923200909285
-211,0.2463471064597721,1.1478523126512523,9.915853389785868
211,0.0974759848536258,0.41059920755682,3.5496465317849704
-211,0.4537955720996356,0.1239693846283512,1.171047688018945
-211,0.4327733698061345,2.789283332862925,24.090009985139677
211,0.0910423671870223,3.66114212240676,31.61473788793445
-211,0.1749187485225791,0.3870586783561371,3.349770214629669
211,0.3350534602401238,0.4597586125895033,3.986615122897084
-211,0.1073374345623528,0.0909897307407486,0.8051912604493909
-211,0.0714956870532211,0.0773190987648903,0.6858264996427581
-211,0.2130314788646605,0.008874496679939,0.2659599101175125
